time_s,P_drive_W,P_hvac_W,P_chiller_W,P_to_LFP_W,P_to_LTO_W,T_LFP_C,T_LTO_C,SoC_LFP,SoC_LTO
34.25,7886.928924669582,3133.418427768591,0.0,5770.347352438173,5250.0,30.321103742424494,30.53294018512809,0.5500019051340439,0.5249996176576875
34.5,9791.903436626593,3132.9462684637065,0.0,7674.849705090299,5250.0,30.3233411992724,30.536599053968516,0.5500019134944466,0.524999650065095
34.75,11071.069942664602,3132.4743058508857,0.0,8953.544248515489,5250.0,30.325580931503513,30.540254929246327,0.5500019232477628,0.5249996824725024
35.0,9112.63460505674,3132.0025398481903,0.0,6994.637144904931,5250.0,30.32782237095407,30.543907813410758,0.5500019308671932,0.5249997148799098
35.25,10987.042858734807,3131.5309703737166,0.0,8868.573829108524,5250.0,30.330058661761043,30.547557708909032,0.5500019405279489,0.5249997472873172
35.5,10799.636938378937,3131.0595973455947,0.0,8680.696535724532,5250.0,30.33229776657474,30.55120461818638,0.5500019499840454,0.5249997796947247
35.75,9956.126250688223,3130.588420681989,0.0,7836.714671370213,5250.0,30.334535372322655,30.55484854368602,0.5500019585207716,0.5249998121021321
36.0,9993.910684988365,3130.117440301098,0.0,7874.028125289464,5250.0,30.33677009004394,30.558489487849187,0.5500019670981443,0.5249998445095395
36.25,10066.266512687613,3129.646656121155,0.0,7945.913168808767,5250.0,30.33900381780799,30.562127453115103,0.5500019757538231,0.5249998769169469
36.5,9311.130468976773,3129.1760680604257,0.0,7190.306537037199,5250.0,30.341236628031922,30.565762441921002,0.5500019835864011,0.5249999093243544
36.75,9774.135676294823,3128.7056760372107,0.0,7652.841352332034,5250.0,30.343466879323437,30.569394456702124,0.5500019919228295,0.5249999417317618
37.0,9962.748554736616,3128.235479969845,0.0,7840.98403470646,5250.0,30.345696962675895,30.57302349989171,0.5500020004642064,0.5249999741391692
37.25,10489.550356511596,3127.7654797766972,0.0,8367.315836288293,5250.0,30.347926362365047,30.576649573921024,0.5500020095789295,0.5250000065465766
37.5,10633.450276494154,3127.295675376171,0.0,8510.745951870325,5250.0,30.350155812016382,30.580272681219327,0.5500020188498946,0.5250000389539841
